#Planet: 0.8000 Mjup, 1.5000 Rjup, 0.050 au 
#Star: 1.000 Msun, 1.778 Lsun 
#Spectrum: 1096 ergs/s/cm2, scaled-solar, [0.600,91.200] nm
#Tutorial example planet w/ 10xZ_solar H,He,C,O. Scaled solar spectrum.
r,r/Rp,v,T,rho,heat_ion
11848880242.9,1.105,8.15329e+02,3.92187e+03,2.94655e-14,6.94200e-08
11851870114.4,1.105,8.29534e+02,3.95970e+03,2.89463e-14,6.92641e-08
11854859985.9,1.105,8.43822e+02,3.99744e+03,2.84418e-14,6.91063e-08
11857849857.5,1.106,8.58193e+02,4.03509e+03,2.79515e-14,6.89466e-08
11860839729.0,1.106,8.72646e+02,4.07264e+03,2.74747e-14,6.87853e-08
11863829600.5,1.106,8.87178e+02,4.11010e+03,2.70110e-14,6.86224e-08
11866819472.1,1.107,9.01791e+02,4.14747e+03,2.65599e-14,6.84581e-08
11869809343.6,1.107,9.16482e+02,4.18473e+03,2.61210e-14,6.82925e-08
11872799215.1,1.107,9.31250e+02,4.22190e+03,2.56938e-14,6.81256e-08
11875789086.7,1.107,9.46096e+02,4.25896e+03,2.52779e-14,6.79577e-08
11878778958.2,1.108,9.61017e+02,4.29593e+03,2.48729e-14,6.77887e-08
11881768829.7,1.108,9.76013e+02,4.33279e+03,2.44784e-14,6.76189e-08
11884758701.3,1.108,9.91084e+02,4.36956e+03,2.40941e-14,6.74482e-08
11887748572.8,1.109,1.00623e+03,4.40621e+03,2.37195e-14,6.72767e-08
11890738444.3,1.109,1.02144e+03,4.44277e+03,2.33544e-14,6.71046e-08
11893728315.9,1.109,1.03673e+03,4.47922e+03,2.29985e-14,6.69319e-08
11896718187.4,1.109,1.05209e+03,4.51556e+03,2.26513e-14,6.67587e-08
11899708058.9,1.110,1.06752e+03,4.55180e+03,2.23128e-14,6.65850e-08
11902697930.5,1.110,1.08302e+03,4.58793e+03,2.19824e-14,6.64110e-08
11905687802.0,1.110,1.09858e+03,4.62396e+03,2.16600e-14,6.62366e-08
11908677673.5,1.110,1.11422e+03,4.65988e+03,2.13454e-14,6.60620e-08
11911667545.1,1.111,1.12992e+03,4.69569e+03,2.10382e-14,6.58871e-08
11914657416.6,1.111,1.14569e+03,4.73139e+03,2.07382e-14,6.57122e-08
11917647288.1,1.111,1.16152e+03,4.76698e+03,2.04453e-14,6.55371e-08
11920637159.7,1.112,1.17742e+03,4.80247e+03,2.01591e-14,6.53619e-08
11923627031.2,1.112,1.19338e+03,4.83784e+03,1.98794e-14,6.51868e-08
11926616902.7,1.112,1.20941e+03,4.87311e+03,1.96062e-14,6.50117e-08
11929606774.3,1.112,1.22550e+03,4.90827e+03,1.93391e-14,6.48366e-08
11932596645.8,1.113,1.24165e+03,4.94331e+03,1.90779e-14,6.46617e-08
11935586517.3,1.113,1.25787e+03,4.97825e+03,1.88226e-14,6.44870e-08
11938576388.9,1.113,1.27414e+03,5.01308e+03,1.85729e-14,6.43124e-08
11941566260.4,1.114,1.29047e+03,5.04779e+03,1.83286e-14,6.41381e-08
11944556131.9,1.114,1.30687e+03,5.08240e+03,1.80896e-14,6.39640e-08
11947546003.5,1.114,1.32332e+03,5.11689e+03,1.78558e-14,6.37902e-08
11950535875.0,1.114,1.33983e+03,5.15127e+03,1.76269e-14,6.36168e-08
11953525746.5,1.115,1.35640e+03,5.18554e+03,1.74029e-14,6.34437e-08
11956515618.1,1.115,1.37303e+03,5.21970e+03,1.71835e-14,6.32710e-08
11959505489.6,1.115,1.38971e+03,5.25374e+03,1.69688e-14,6.30987e-08
11962495361.1,1.116,1.40645e+03,5.28768e+03,1.67585e-14,6.29269e-08
11965485232.7,1.116,1.42324e+03,5.32149e+03,1.65525e-14,6.27555e-08
11968475104.2,1.116,1.44008e+03,5.35520e+03,1.63507e-14,6.25846e-08
11971464975.7,1.116,1.45698e+03,5.38879e+03,1.61529e-14,6.24142e-08
11974454847.3,1.117,1.47394e+03,5.42226e+03,1.59592e-14,6.22444e-08
11977444718.8,1.117,1.49094e+03,5.45562e+03,1.57693e-14,6.20752e-08
11980434590.3,1.117,1.50800e+03,5.48887e+03,1.55832e-14,6.19065e-08
11983424461.9,1.117,1.52510e+03,5.52199e+03,1.54007e-14,6.17385e-08
11986414333.4,1.118,1.54226e+03,5.55500e+03,1.52218e-14,6.15711e-08
11989404204.9,1.118,1.55946e+03,5.58789e+03,1.50463e-14,6.14043e-08
11992394076.5,1.118,1.57672e+03,5.62066e+03,1.48743e-14,6.12382e-08
11995383948.0,1.119,1.59401e+03,5.65331e+03,1.47055e-14,6.10729e-08
11998373819.5,1.119,1.61136e+03,5.68583e+03,1.45400e-14,6.09083e-08
12001363691.1,1.119,1.62875e+03,5.71824e+03,1.43776e-14,6.07444e-08
12004353562.6,1.119,1.64619e+03,5.75051e+03,1.42182e-14,6.05813e-08
12007343434.1,1.120,1.66366e+03,5.78267e+03,1.40618e-14,6.04190e-08
12010333305.7,1.120,1.68119e+03,5.81469e+03,1.39083e-14,6.02576e-08
12013323177.2,1.120,1.69875e+03,5.84658e+03,1.37577e-14,6.00970e-08
12016313048.7,1.121,1.71635e+03,5.87834e+03,1.36098e-14,5.99373e-08
12019302920.3,1.121,1.73399e+03,5.90997e+03,1.34647e-14,5.97784e-08
12022292791.8,1.121,1.75167e+03,5.94146e+03,1.33221e-14,5.96205e-08
12025282663.3,1.121,1.76938e+03,5.97282e+03,1.31822e-14,5.94636e-08
12028272534.9,1.122,1.78713e+03,6.00403e+03,1.30448e-14,5.93076e-08
12031262406.4,1.122,1.80492e+03,6.03510e+03,1.29098e-14,5.91526e-08
12034252277.9,1.122,1.82273e+03,6.06602e+03,1.27773e-14,5.89987e-08
12037242149.5,1.122,1.84058e+03,6.09680e+03,1.26471e-14,5.88458e-08
12040232021.0,1.123,1.85846e+03,6.12742e+03,1.25193e-14,5.86940e-08
12043221892.5,1.123,1.87636e+03,6.15788e+03,1.23936e-14,5.85434e-08
12046211764.1,1.123,1.89429e+03,6.18819e+03,1.22702e-14,5.83938e-08
12049201635.6,1.124,1.91225e+03,6.21833e+03,1.21490e-14,5.82455e-08
12052191507.1,1.124,1.93022e+03,6.24831e+03,1.20299e-14,5.80984e-08
12055181378.7,1.124,1.94822e+03,6.27811e+03,1.19129e-14,5.79525e-08
12058171250.2,1.124,1.96623e+03,6.30774e+03,1.17979e-14,5.78079e-08
12061161121.7,1.125,1.98427e+03,6.33719e+03,1.16848e-14,5.76646e-08
12064150993.3,1.125,2.00231e+03,6.36646e+03,1.15738e-14,5.75227e-08
12067140864.8,1.125,2.02037e+03,6.39554e+03,1.14647e-14,5.73821e-08
12070130736.3,1.126,2.03844e+03,6.42442e+03,1.13574e-14,5.72430e-08
12073120607.9,1.126,2.05651e+03,6.45310e+03,1.12520e-14,5.71053e-08
12076110479.4,1.126,2.07459e+03,6.48158e+03,1.11484e-14,5.69691e-08
12079100350.9,1.126,2.09268e+03,6.50985e+03,1.10466e-14,5.68344e-08
12082090222.5,1.127,2.11076e+03,6.53790e+03,1.09466e-14,5.67013e-08
12085080094.0,1.127,2.12884e+03,6.56573e+03,1.08482e-14,5.65698e-08
12088069965.5,1.127,2.14692e+03,6.59333e+03,1.07516e-14,5.64399e-08
12091059837.1,1.127,2.16499e+03,6.62070e+03,1.06566e-14,5.63117e-08
12094049708.6,1.128,2.18304e+03,6.64783e+03,1.05632e-14,5.61852e-08
12097039580.1,1.128,2.20109e+03,6.67471e+03,1.04714e-14,5.60604e-08
12100029451.7,1.128,2.21911e+03,6.70135e+03,1.03812e-14,5.59374e-08
12103019323.2,1.129,2.23712e+03,6.72772e+03,1.02926e-14,5.58163e-08
12106009194.7,1.129,2.25511e+03,6.75383e+03,1.02054e-14,5.56970e-08
12108999066.3,1.129,2.27307e+03,6.77967e+03,1.01198e-14,5.55795e-08
12111988937.8,1.129,2.29100e+03,6.80522e+03,1.00356e-14,5.54640e-08
12114978809.3,1.130,2.30890e+03,6.83050e+03,9.95291e-15,5.53505e-08
12117968680.9,1.130,2.32677e+03,6.85548e+03,9.87161e-15,5.52389e-08
12120958552.4,1.130,2.34460e+03,6.88017e+03,9.79171e-15,5.51294e-08
12123948423.9,1.131,2.36239e+03,6.90456e+03,9.71318e-15,5.50219e-08
12126938295.5,1.131,2.38013e+03,6.92863e+03,9.63601e-15,5.49165e-08
12129928167.0,1.131,2.39783e+03,6.95240e+03,9.56016e-15,5.48132e-08
12132918038.5,1.131,2.41548e+03,6.97584e+03,9.48563e-15,5.47120e-08
12135907910.1,1.132,2.43308e+03,6.99895e+03,9.41238e-15,5.46130e-08
12138897781.6,1.132,2.45063e+03,7.02174e+03,9.34040e-15,5.45161e-08
12141887653.1,1.132,2.46811e+03,7.04418e+03,9.26966e-15,5.44215e-08
12144877524.7,1.133,2.48554e+03,7.06629e+03,9.20014e-15,5.43290e-08
12147867396.2,1.133,2.50290e+03,7.08805e+03,9.13182e-15,5.42388e-08
12150857267.7,1.133,2.52020e+03,7.10946e+03,9.06469e-15,5.41508e-08
12153847139.3,1.133,2.53742e+03,7.13052e+03,8.99871e-15,5.40651e-08
12156837010.8,1.134,2.55458e+03,7.15121e+03,8.93387e-15,5.39817e-08
12159826882.3,1.134,2.57167e+03,7.17155e+03,8.87015e-15,5.39005e-08
12162816753.9,1.134,2.58868e+03,7.19153e+03,8.80753e-15,5.38215e-08
12165806625.4,1.134,2.60562e+03,7.21113e+03,8.74598e-15,5.37449e-08
12168796496.9,1.135,2.62247e+03,7.23037e+03,8.68549e-15,5.36705e-08
12171786368.5,1.135,2.63925e+03,7.24924e+03,8.62604e-15,5.35984e-08
12174776240.0,1.135,2.65595e+03,7.26774e+03,8.56761e-15,5.35285e-08
12177766111.5,1.136,2.67256e+03,7.28587e+03,8.51017e-15,5.34608e-08
12180755983.1,1.136,2.68909e+03,7.30363e+03,8.45370e-15,5.33954e-08
12183745854.6,1.136,2.70554e+03,7.32101e+03,8.39819e-15,5.33323e-08
12186735726.1,1.136,2.72190e+03,7.33802e+03,8.34362e-15,5.32713e-08
12189725597.7,1.137,2.73817e+03,7.35467e+03,8.28996e-15,5.32125e-08
12192715469.2,1.137,2.75436e+03,7.37094e+03,8.23720e-15,5.31558e-08
